MSA_CODE,11-0000,13-0000,15-0000,17-0000,19-0000,21-0000,23-0000,25-0000,27-0000,29-0000,31-0000,33-0000,35-0000,37-0000,39-0000,41-0000,43-0000,45-0000,47-0000,49-0000,51-0000,53-0000,55-0000
29420,2150,1040,330,300,220,560,270,2210,230,3500,1600,2190,5440,1810,1230,5890,7660,0,1960,2840,2450,2770,0
29460,6390,8720,3240,2160,880,1990,1240,11950,1480,12450,5630,4400,19490,7340,4660,24000,36010,2360,10320,10840,14560,21630,0
29540,8490,7910,3690,3880,1580,3720,910,10770,2450,13880,7650,2320,22050,6520,7720,23740,36730,820,12410,10750,24740,21500,0
29620,10330,13000,6800,3210,2790,3200,1500,18820,2960,11050,5400,2830,17930,5420,5870,18480,34250,290,5720,6950,15040,13920,0
29700,2990,3070,700,480,180,970,310,7750,740,3310,2350,4570,10070,2370,7590,10710,20990,0,2370,3470,1260,11370,0
29740,2990,2870,1820,1980,790,1200,300,5970,540,3880,2830,2840,7300,2130,4310,6000,10930,1390,3320,2370,2130,2440,0
29820,42310,31490,12810,7530,3370,7930,6560,34910,15910,40630,17240,32910,146660,59620,60750,105940,143400,200,42120,31240,25430,66420,0
29940,2340,-1,1770,960,340,530,210,4770,960,2250,990,910,7050,1550,2380,5220,7090,0,1380,1750,2890,1940,0
30020,2120,1780,830,530,180,560,180,3230,410,2890,1130,1350,5000,1530,1230,4720,6990,50,1660,2070,2850,2310,0
30140,1350,1460,380,370,350,1150,120,2680,290,3050,1840,560,4630,1530,1510,4260,8080,120,1550,2640,5160,5510,0
30300,1170,730,230,250,200,420,100,1470,240,1860,980,490,2340,850,860,2690,3640,170,1070,1570,3290,1560,0
30460,13200,9390,4950,4980,2600,3260,1390,15720,3140,20450,7710,6100,25460,7990,8230,25730,39590,1610,8590,10910,27650,21130,0
30620,1570,1400,380,600,170,770,170,2290,320,4170,2210,1060,5080,1470,1030,4800,6960,0,1790,2450,5510,3910,0
30700,7360,11080,5810,2880,1940,3830,1100,10380,2720,10570,4560,2850,15730,5340,5170,17060,29660,210,7100,5960,11250,12680,0
30780,19840,17310,10910,4210,2230,4290,3030,17120,3100,28110,10410,8150,30130,10610,10840,37330,54500,640,13420,14340,17840,22440,0
30860,3060,1510,1280,1200,720,850,190,4710,630,2370,1530,590,4080,1450,1430,5120,9230,100,2270,2150,6580,2880,0
30980,3130,2250,730,1540,410,970,410,5510,710,5750,2940,2020,8440,2290,3130,9980,14560,110,10150,5230,8500,7010,0
31020,1400,970,300,400,330,680,150,2330,230,2010,1160,480,3480,1070,950,3700,4730,580,1910,2110,3070,3710,0
31080,330970,352020,161410,100720,47570,85010,51820,332170,185700,287320,130730,137760,548250,155910,178540,595200,982470,5440,179070,172220,369990,393430,0
31084,229980,242870,106620,62890,34870,67940,39040,253950,162160,213860,96130,113200,398170,102760,133490,427530,719140,3550,107310,126370,265070,313650,0
31140,29690,27520,13860,7620,2240,7490,3540,28320,6730,43300,16140,13140,59980,16610,19540,61530,102630,700,22400,27070,67460,66340,0
31180,4480,4200,2320,1350,990,1910,1010,9540,1480,11300,4260,2990,17050,4110,5730,16270,24410,610,4870,6740,4900,9710,0
31340,3360,3760,1970,2230,520,2090,380,5940,880,6480,3360,1740,9160,2920,3660,10810,14760,290,4040,4520,9680,6150,0
31420,4570,5240,1560,660,240,1710,640,5800,740,7730,3630,2700,9190,3280,2340,10520,17840,290,2860,4310,5520,6450,0
31460,1380,860,320,180,390,750,70,3140,200,3250,930,1710,2830,1550,1180,2850,5390,5730,1410,1610,3980,2480,0
31540,20700,26840,23750,7750,7180,6090,2680,25520,6460,22700,8580,6720,30880,11410,11870,33240,56150,500,13510,12270,26830,20240,0
31740,1840,1650,630,460,430,420,130,3730,660,1930,1260,530,4630,1450,1500,3580,5780,110,1840,1590,2050,1630,0
31860,2440,1810,1050,700,260,1670,160,3600,700,3150,1640,560,5230,1850,3340,5390,7270,80,1620,1840,3980,3290,0
31900,1760,1270,410,1100,70,1080,250,2910,310,3200,1770,1740,5010,1330,980,4960,7630,80,1860,1890,7430,3660,0
32420,830,810,220,130,190,310,50,2460,140,2420,530,1420,2850,1100,560,4520,5030,0,1020,830,2080,1330,0
32580,6010,5740,1810,990,1010,2600,1240,25960,1540,16240,15330,6990,23150,6030,24140,29350,41630,930,5480,8240,6450,18840,0
32780,4010,2460,1120,610,660,1670,370,5010,1280,5310,2940,1180,8800,2920,3250,9240,12780,760,3270,2960,5290,6270,0
32820,34020,23230,9540,5780,3360,6540,3150,30830,4320,42250,14890,19990,52000,18200,17260,60270,102050,610,19720,24470,39810,91560,0
32900,2650,1870,680,290,720,1410,190,8400,340,2830,1800,1410,5740,1940,1250,5940,8610,4740,1490,2370,5190,5700,0
33100,90290,138260,54470,25350,9370,27020,35490,120140,31760,152130,68490,83440,255280,96170,69540,338380,462820,4970,92210,104770,85540,167120,0
33124,39370,61800,22090,10620,3810,11610,16930,54460,15580,69440,29910,42100,108040,39890,30190,148800,209320,2050,33560,43280,42140,90730,0
33140,1690,1080,240,420,70,590,110,2310,250,2140,960,1870,4720,1320,950,4540,5500,0,1650,1680,5100,3080,0
33220,1790,1800,570,660,-1,390,100,2250,400,2510,1070,440,2770,1550,1250,3360,5540,0,1880,1150,3170,1340,0
33260,3720,3850,840,2870,1660,590,410,3530,990,3420,-1,1120,7970,2150,1490,9450,12390,-1,8790,4940,4700,8520,0
33340,44370,47260,25930,16790,4070,13050,6370,47280,12430,52620,20420,15430,70390,24580,44550,80590,125240,720,24930,27420,84500,51900,0
33460,125970,134070,82440,42510,17220,34090,15500,108390,28500,105520,50460,29160,157860,52620,89250,187750,278610,1190,60630,58730,135150,114630,0
33540,2030,2390,1250,690,1130,1450,630,3150,1060,3990,1290,950,6630,2390,2410,6910,9750,170,2340,2260,1820,3290,0
33660,6640,5400,2440,3680,900,1780,1130,7760,1510,12670,4670,3240,15070,5710,4420,20070,28460,60,10170,9340,14470,13520,0
33700,7290,4340,1570,1180,1010,3550,710,13590,1320,10680,5120,2610,16390,4690,4900,18770,26540,6360,6670,6690,12570,15840,0
33740,2880,2980,1000,1020,160,1350,570,4650,520,5880,3300,1380,7230,2610,3510,8600,11910,230,2680,3810,4220,6310,0
33780,1620,1170,250,840,60,460,90,2640,340,1890,1370,460,4430,1060,1170,3870,5600,30,1270,2590,3870,4130,0
33860,6090,7650,3990,2810,1150,1920,1540,8990,1780,9340,3740,5240,14630,5780,5470,17160,25770,540,4890,7040,16800,12710,0
33874,49570,62300,45200,19550,14270,14220,6590,53590,12150,59480,30720,17400,77290,30010,43870,117800,171880,1010,36410,39740,59860,60140,0
34060,3100,2060,1340,980,820,870,520,5450,590,6970,-1,1510,6730,2100,1510,5340,8700,100,2630,3410,3250,3610,0
34100,1850,720,400,890,90,430,60,2570,250,2650,1060,880,4160,1000,650,4050,5730,30,1590,2070,7320,3930,0
34580,1770,1540,520,820,510,710,180,2810,580,2420,1270,900,4970,1320,1550,5360,5900,270,2560,2270,3720,2810,0
34620,2380,1400,1010,270,80,740,180,3580,790,3370,1460,630,5540,1440,1330,5070,6840,0,1320,1530,3420,2520,0
34740,2200,1490,390,1400,180,1000,180,3270,400,4180,2360,1230,6430,1560,1620,8740,8130,-1,1850,2460,9210,3020,0
34820,6030,3250,1250,830,500,1300,820,8740,1520,7250,3960,4660,26420,10000,5250,23320,22230,150,5920,6550,4420,8230,0
34900,4110,2850,510,490,660,1030,330,3810,460,4180,1860,1160,9320,4250,2040,8110,9100,2770,3510,2090,4210,3920,0
34940,4350,5280,1330,860,480,1200,980,5520,1270,8210,3680,3210,20470,9850,5340,17920,19760,440,10960,5360,4820,6830,0
34980,60160,45310,23290,12540,4380,9140,5340,44230,13660,57780,21740,19450,85640,23570,21970,91760,156370,390,28060,39250,70630,77710,0
35004,58110,53980,23850,14200,8890,16530,13250,104480,14400,84670,44020,33000,101940,47580,56030,142760,237970,460,59710,45610,52230,72610,0
35084,68460,70760,44280,16960,15050,18720,12880,90000,12040,63310,38950,33490,77830,40320,30630,112790,190410,620,33130,39880,54380,93120,0
35100,1200,1940,550,1330,230,510,310,2690,220,3180,1970,1280,4690,1210,1210,3880,6080,140,1650,2900,3230,2300,0
35380,25320,22970,7550,9610,3400,6530,5530,30130,7300,39040,12330,18900,66520,16120,17580,64120,82420,600,25450,25030,26720,44940,0
35614,374140,442410,218450,64400,46130,119940,82860,469530,173710,353680,300060,222790,505400,217610,249460,686220,1077490,1070,211220,195470,188060,386390,0
35620,506340,571030,289130,99710,70660,157970,109720,678140,201760,511460,388090,294230,697580,311200,343480,954760,1527120,2290,311030,286520,299130,558500,0
35660,2830,2700,780,2470,190,770,250,2950,730,3340,1610,1460,7040,1800,1590,6000,9640,80,1440,2530,8040,2940,0
35840,9050,12100,3650,2630,1010,2780,2450,11790,3520,18310,11860,5610,34330,12230,8200,39000,48060,1550,15740,12560,13140,13150,0
36084,70060,67010,42610,28190,18590,16000,7900,72300,16560,56660,25230,20540,92580,30490,35250,105060,163200,560,52730,35380,62550,64900,0
